논문이름,저자,발행기관,학술지명,권호사항,발행년도,작성언어,주제어,초록
왓슨을 중심으로 본 의료 인공지능의 유용성 및 검증의 필요성                      = The Usefulness and Necessity of Clinical Validation of Medical Artificial Intelligence Focused on Watson,최상태,미래의료인문사회과학회,FUTURE MEDICINE & HUMANITIES(미래의료인문사회과학),Vol.1   No.2   [2018],2018,Korean,인공지능;   의료;   왓슨;   딥러닝;   검증,"Artificial intelligence is one of the key elements in the era of the Fourth Industrial Revolution, and it is predicted that the era of weak artificial intelligence will be prevalent over the next several decades. People have both fear as well as expectation and trust about artificial intelligence at the same time. Therefore whether or not artificial intelligence will provide innovative help for us or cause disaster in the future depends on how we develop and apply artificial intelligence rather than artificial intelligence itself. In the medical field, artificial intelligence is being developed in various ways. The use of medical artificial intelligence can quickly assemble vast amounts of data, improve the accuracy of diagnosis, and help to pursue precision care. However, medical artificial intelligence also contains a lot of ethical and technical limitations. Especially, the safety, effectiveness and accuracy of clinical applications of medical artificial intelligence have been rarely verified yet. For example, in the cases of applying the IBM Watson for Oncology to clinical practice, it was reported that the concordance rate between IBM Watson and human doctors varies greatly depending on the type of cancer, stage, nation and insurance system etc. Therefore, clinical validation of medical artificial intelligence must be preceded before actual practices of medical artificial intelligence are practiced, as in clinical trials for new drugs or new diagnostic tools."
인공지능을 활용한 정형외과 및 근골격계 종양의 임상 연구 및 동향,서성욱(Sung Wook Seo),대한정형외과학회,대한정형외과학회지(The Journal of the Korean orthopaedic association),Vol.58   No.6   [2023],2023,Korean,machine learning;  cancer;  artificial intelligence;  musculoskeletal tumor;  기계 학습;  암;  인공지능;  근골격계 종양,"임상 암 연구는 환자의 다양한 데이터를 토대로 위중도를 예측하거나 치료의 효과를 예측하는 일에 초점을 맞추고 있다. 환자에게서 확보할 수 있는 정보는 유전자 정보를 포함한 영상 정보, 생체 신호, 텍스트 데이터, 생화학적 검사 등 다양하며 현재까지 역학적 방법론을 통하여 이들의 데이터 분석이 이루어져 왔다. 최근에는 인공지능 방법론, 특히 기계 학습 방법들이 역학적 방법론에 비하여 우수한 성능을 보임으로써 많은 임상 연구자들이 기계 학습을 데이터 분석 및 예측에 활용하고 있으며, 몇몇 성능이 우수한 알고리즘들은 의료기기로 허가를 획득하고 실제 임상에 적용되고 있다. 그러므로 이러한 인공지능 의료기기를 앞으로 직접 사용하게 될 의료진들은 이러한 알고리즘들의 장점과 단점에 대해 구체적으로 이해할 필요가 있다. 기계 학습 알고리즘들은 하나의 원리로 작동하는 것이 아니며, 다양한 배경에서 시작된 다양한 알고리즘들이 존재한다. 각 알고리즘들은 사용의 목적에 따라 적합한 경우도 있고 그렇지 않은 경우도 있다. 목적에 적합하게 적용하지 않은 알고리즘은 그 성능이 우수하더라도 임상적으로 사용될 수 없는 경우도 많다. 본 종설에서는 임상에서 활용할 수 있는 인공지능 알고리즘들을 소개하고 적용 사례들을 소개함으로써 인공지능 의료기기의 임상적인 유용성과 그 한계에 대해서 알아보고자 한다."
인공지능이 따라하지 못할 인문학적 뇌와 인간의 양면성(창조성과 한계)에 도전하는 인공지능 : 권택영(2018). 『생각의 속임수: 인공지능이 따라하지 못할 인문학적 뇌』. 글항아리                      = Humanistic Brain that Artificial Intelligence can’t Mimic and Artificial Intelligence Challenging Human Ambivalence(Creativity and Limitation),강응섭(서평자)                                                                                                ;                                  백승희(서평자),한국현대정신분석학회,현대정신분석(The Journal of Contemporary Psychoanalysis),Vol.21   No.2   [2019],2019,Korean,,"서평을 시작하면서

Ⅰ. 인공지능이 따라하지 못할 인문학적 뇌는 무엇인가

Ⅱ. 인간의 양면성(창조성과 한계)에 도전하는 인공지능은 가능한가

서평을 맺으면서

참고문헌"
인공지능시대의 경혈 주치 연구를 위한 제언,채윤병(Youn Byoung Chae),한의병리학회,동의생리병리학회지(Korean Journal of Oriental Physiology & Pathology),Vol.35   No.5   [2021],2021,Korean,Acupoint indication;  Artificial intelligence;  Big data;  Data mining;  Machine learning,"1 박인수, ""텍스트마이닝을 통한 사암침법 오수혈 사용 패턴 분석"" 경락경혈학회 32 (32): 66-74, 2015
						
						
				
				
				
			
		

			
				
				
						
							2 전상호, ""침 치료 임상연구 동향에 대한 계량서지학적 분석"" 경락경혈학회 36 (36): 281-291, 2019
						
						
				
				
				
			
		

			
				
				
						
							3 이인선, ""요통 침치료를 위한 경혈 선정에 관한 체계적 문헌 고찰"" 경락경혈학회 29 (29): 519-536, 2012
						
						
				
				
				
			
		

			
				
				
						
							4 채윤병, ""데이터마이닝을 이용한 동의보감에서 경락의 주치특성 분석"" 경락경혈학회 36 (36): 292-299, 2019
						
						
				
				
				
			
		

			
				
				
						
							5 최다현, ""데이터 마이닝을 이용한 임상연구 데이터베이스 기반 원혈의 주치 특성"" 경락경혈학회 38 (38): 100-109, 2021
						
						
				
				
				
			
		

			
				
				
						
							6 채윤병, ""경락시스템 실질에 대한 이해: 과거와 현재 그리고 미래"" 한의병리학회 30 (30): 402-411, 2016
						
						
				
				
				
			
		

			
				
				
						
							7 계강윤, ""韓醫學 鍼 處方의 구성 방법 및 主次 개념에 관한 고찰"" 대한한의학회 41 (41): 9-21, 2020
						
						
				
				
				
			
		

			
				
				
						
							8 Lee IS, ""Visualization of the Meridian System Based on Biomedical Information about Acupuncture Treatment"" 2013 : 872142-, 2013
						
						
				
				
				
			
		

			
				
				
						
							9 Wang Y, ""The Impact of Artificial Intelligence on Traditional Chinese Medicine"" 49 (49): 1297-1314, 2021
						
						
				
				
				
			
		

			
				
				
						
							10 Ye-Chae Hwang, ""Statistical inference of acupoint specificity: forward and reverse inference"" 한국한의학연구원 9 (9): 17-20, 2020
						
						
				
				
				
			
		

			
				
				
						
							11 Jung WM, ""Spatial Patterns of the Indications of Acupoints Using Data Mining in Classic Medical Text : A Possible Visualization of the Meridian System"" 2015 : 457071-, 2015
						
						
				
				
				
			
		

			
				
				
						
							12 Mou ZJ, ""Rule of point selection in treatment of cerebral palsy in children with acupuncture based on data mining of 1584 electronic medical records"" 41 (41): 355-358, 2021
						
						
				
				
				
			
		

			
				
				
						
							13 Liang J, ""Research progress in the integration of machine learning and acupunctology"" 46 (46): 460-463, 2021
						
						
				
				
				
			
		

			
				
				
						
							14 Chu X, ""Quantitative knowledge presentation models of traditional Chinese medicine(TCM) : A review"" 103 : 101810-, 2020
						
						
				
				
				
			
		

			
				
				
						
							15 Yu J, ""Investigating Prescriptions and Mechanisms of Acupuncture for Chronic Stable Angina Pectoris : An Association Rule Mining and Network Analysis Study"" 2020 : 1931839-, 2020
						
						
				
				
				
			
		

			
				
				
						
							16 Chae Y, ""Inserting needles into the body : a meta-analysis of brain activity associated with acupuncture needle stimulation"" 14 (14): 215-222, 2013
						
						
				
				
				
			
		

			
				
				
						
							17 Hwang YC, ""Identification of Acupoint Indication from Reverse Inference: Data Mining of Randomized Controlled Clinical Trials"" 9 (9): 2020
						
						
				
				
				
			
		

			
				
				
						
							18 Hwang YC, ""Exploring traditional acupuncture point selection patterns for pain control: data mining of randomised controlled clinical trials"" 964528420926173-, 2020
						
						
				
				
				
			
		

			
				
				
						
							19 Jung WM, ""Exploring spatial patterns of acupoint indications from clinical data: A STROBE-compliant article"" 96 (96): e6768-, 2017
						
						
				
				
				
			
		

			
				
				
						
							20 Zhou X, ""Development of traditional Chinese medicine clinical data warehouse for medical knowledge discovery and decision support"" 48 : 139-152, 2010
						
						
				
				
				
			
		

			
				
				
						
							21 Jung WM, ""Development of Markup Language for Medical Record Charting : A Charting Language"" 216 : 879-, 2015
						
						
				
				
				
			
		

			
				
				
						
							22 Ren YL, ""Considerations about developing a clinical decision support system for evidence-based diagnosis and treatment of acupuncture-moxibustion"" 34 (34): 349-352, 2009
						
						
				
				
				
			
		

			
				
				
						
							23 Lee YS, ""Commonality and Specificity of Acupuncture Point Selections"" 2020 : 2948292-, 2020
						
						
				
				
				
			
		

			
				
				
						
							24 Jung WM, ""Characterization of hidden rules linking symptoms and selection of acupoint using an artificial neural network model"" 13 (13): 112-120, 2019
						
						
				
				
				
			
		

			
				
				
						
							25 Poldrack RA, ""Can cognitive processes be inferred from neuroimaging data"" 10 (10): 59-63, 2006
						
						
				
				
				
			
		

			
				
				
						
							26 Yu S, ""Application of acupoints and meridians for the treatment of primary dysmenorrhea : a data mining-based literature study"" 2015 : 752194-, 2015
						
						
				
				
				
			
		

			
				
				
						
							27 Su ZW, ""Analysis on characteristics of meridians and acupoints of acupuncture and moxibustion for diarrhea in ancient based on data mining"" 33 (33): 905-909, 2013
						
						
				
				
				
			
		

			
				
				
						
							28 Lu L, ""Acupoints for Tension-Type Headache : A Literature Study Based on Data Mining Technology"" 2021 : 5567697-, 2021
						
						
				
				
				
			
		

			
				
				
						
							29 Sun QH, ""Acupoint selection rules in treating gastroesophageal reflux disease with acupuncture in China based on data mining"" 40 (40): 1374-1378, 2020
						
						
				
				
				
			
		

			
				
				
						
							30 김미경, ""2020년 전국한의과대학 기초한의학 및 기초의학 교육현황 조사"" 대한한의학회 41 (41): 98-124, 2020"
인공지능을 활용한 매개모기 자동분류 기술 개발                      = Development of Mosquito Identification Technique using Artificial Intelligence Technique,이상준 ( Sangjoon Lee )                          ;   윤원섭 ( Wonsub Yoon )                          ;   조병관 ( Byoung-kwan Cho ),한국농업기계학회(The Korean Society of the Agricultureal machinery),한국농업기계학회 학술발표논문집,Vol.25   No.2   [2020],2020,-,매개모기;   인공지능;   딥러닝;   영상분석;   합성곱 알고리즘,"매기 모기에 의한 감염병 확산 및 피해는 세계적으로 심각하게 다루고 있는 중요한 질병관리 사안이다. 주요 모기매개 감염병들은 일본뇌염을 제외하고 백신이 개발되지 않았거나 백신의 안정성이 확보되지 않은 상황이다. 또한 치료약의 경우, 말라리아를 제외하고 아직 치료제가 개발되지 않은 상황이므로 모기 매개 감염병은 방제가 질병 관리에 가장 중요한 방법이다. 현재 방제를 위한 감염병 매개모기의 감시는 포집장치를 통해 모기 개체수를 자동으로 파악하는 방식을 사용하고 있다. 그러나 현재 포집장치는 적외선센서를 이용해 단순히 모기 개체수를 측정하는 수준이며 모기의 종류별 개체수의 파악은 불가능하다. 따라서 본 연구에서는 모기의 종류별 개체수를 실시간 자동으로 파악할 수 있는 영상분석 기술을 개발하고자 하였다. 칼라 카메라를 이용하여, 포획망에 포획된 다양한 종류의 모기를 촬영하고 Faster R-CNN (Region-Convolutional Neural Network) 딥러닝 알고리즘을 이용하여 모기 개체의 종류를 자동으로 분석할 수 있는 모델을 개발하고자 하였다. 본 연구에서 분석된 결과를 통해 딥러닝 영상분석 기술이 모기의 인식과 종류별 구분에 활용될 수 있음을 확인할 수 있었다."
인공지능 시대의 뇌영상의학,최현석,대한자기공명기술학회,대한자기공명기술학회 학술대회,Vol.2020   No.11   [2020],2020,Korean,,
인공지능의 미래                      = Future perspectives of artificial intelligence,황재준                                (부산대학교 치의학전문대학원 영상치의학교실)                                                                ;                                  허민석                                (서울대학교 치의학대학원 영상치의학교실),대한치과의사협회,대한치과의사협회지(The Journal of Korean Dental Association),Vol.60   No.5   [2022],2022,Korean,Artificial intelligence;  Dentistry;  Trends;  Corresponding author,"Recently, AI has made rapid developments in various fields.Therefore, it is meaningful to look into the future of AI in the dental field and what needs to be supplemented to minimize its side effects. In this article, the future of AI technology in the dental field in the near future and the coping direction were summarized based on the insights of the papers on the future of AI in this field. In the future, AI will be able to provide more useful diagnosis and treatment planning assistance by comprehensively analyzing various information such as EMR data, article, genome, and wearable data as well as X-ray image. In addition, the efficiency of dental work will be improved by automating the design of the laboratory work and device. This efficiency can be extended from dental inventory to patient appointment management, and instant feedback in the clinic, and eventually develop into an comprehensive dental care system. With the advent of more advanced natural language processing systems, smart AI assistants who can have conversations about treatment and dental operations will appear. In addition, face-to-face contact with patients will increase along with AI-based charting automation, and AI will improve the patient experience, allowing more patients to receive appropriate oral health care. As AI is expected to be broadly applied to dentistry, a basic understanding of how big data is collected and how AI algorithms are programmed is now essential for dentists as well."
인공지능의 미래를 좌우할 인간의 자연지능,이정한,한국뇌과학연구원,브레인,Vol.88   No.-   [2021],2021,Korean,,
인공지능 시대의 마취통증의학 연구                      = Anesthesia research in the artificial intelligence era,이형철                                (서울대학교병원)                                                                ;                                  정철우                                (서울대학교),대한마취통증의학회,Anesthesia and pain medicine(Anesthesia and Pain Medicine),Vol.13   No.3   [2018],2018,Korean,Artificial intelligence;  Big data;  Machine learning;  Medical research.,"A noteworthy change in recent medical research is the rapid increase of research using big data obtained from electrical medical records (EMR), order communication systems (OCS), and picture archiving and communication systems (PACS). It is often difficult to apply traditional statistical techniques to research using big data because of the vastness of the data and complexity of the relationships. Therefore, the application of artificial intelligence (AI) techniques which can handle such problems is becoming popular.Classical machine learning techniques, such as k-means clustering, support vector machine, and decision tree are still efficient and useful for some research problems. The deep learning techniques, such as multi-layer perceptron, convolutional neural network, and recurrent neural network have been spotlighted by the success of deep belief networks and convolutional neural networks in solving various problems that are difficult to solve by conventional methods. The results of recent research using artificial intelligence techniques are comparable to human experts. This article introduces technologies that help researchers conduct medical research and understand previous literature in the era of AI."
인공지능의 의학적 활용에 대한 건강보험 적용 : 영상의학 관점                      = Health insurance coverage for artificial intelligence –based medical technologies: focus on radiology,박성호                                (서울아산병원)                                                                ;                                  박창민                                (서울대학교병원)                                                                ;                                  최준일                                (서울성모병원),대한의사협회,대한의사협회지(Journal of the Korean Medical Association),Vol.64   No.10   [2021],2021,Korean,건강보험;  보험급여;  인공지능;  영상의학;  Health insurance;  Insurance coverage;  Artificial intelligence;  Radiology,"Background: Interest in health insurance coverage for artificial intelligence (AI)–based medical technologies is growing. This article provides a review of the current developments in the sphere and provides future perspectives, focusing on AI application in radiology.Current Concepts: In December 2019, the Health Insurance Review and Assessment Service under the Korean Ministry of Health and Welfare released its first guidelines for determining the National Health Insurance coverage for AI–based medical technologies. Additionally, in 2020, the largest US health insurance provider, the Centers for Medicare and Medicaid Services, approved payment for AI technologies using two different systems. First, in September 2020, it granted New Technology Add-on Payments for AI algorithms that facilitate the diagnosis and treatment of large vessel occlusion strokes. Second, in December 2020, the Centers for Medicare and Medicaid Services finalized the provision of reimbursements for IDx-DR through a Current Procedural Terminology code. The AI system screens for more than mild diabetic retinopathy, which requires further evaluation by an ophthalmologist.Discussion and Conclusion: An in-depth look at the three events suggests the importance of demonstrating the added clinical value of AI technologies through improved patient outcomes in enabling insurance coverage.Therefore, it is critical to create clinically meaningful collaboration between healthcare professionals and AI by understanding and combining their unique strengths, thus actualizing new forms of patient care instead of having AI merely copy the professionals. Furthermore, if National Health Insurance coverage is granted for AI technologies in radiology, add-on payments would be the most appropriate method."
인공지능 기반 평가 도구를 이용한 한의사의 체질 진단 평가 및 활용 방안에 대한 연구,박무순(Musun Park)                          ;  황민우(Minwoo Hwang)                          ;  이정윤(Jeongyun Lee)                          ;  김창업(Chang-Eop Kim)                          ;  권영규(Young-Kyu Kwon),한의병리학회,동의생리병리학회지(Korean Journal of Oriental Physiology & Pathology),Vol.36   No.2   [2022],2022,Korean,Korean medicine;  Decision-making process;  Sasang Constitutional Medicine;  Knowledge extraction;  Random Forest,"1 박창현 ; 임형호, ""한의학계에서 델파이 방법을 사용한 연구에 대한 문헌고찰(국내 학술지를 중심으로)"" 한방재활의학과학회 25 (25): 59-64, 2015
						
						
				
				
				
			
		

			
				
				
						
							2 장은수 ; 이은정 ; 윤용기 ; 박양춘 ; 정인철, ""한의 변증 설문지 개발 표준프로세스 제안"" 한의병리학회 30 (30): 190-200, 2016
						
						
				
				
				
			
		

			
				
				
						
							3 박민영 ; 이민정 ; 황민우, ""사상의학의 표리변증에 대한 소증 진단지표 개발연구: 소음인, 소양인, 태음인을 중심으로"" 사상체질의학회 32 (32): 65-85, 2020
						
						
				
				
				
			
		

			
				
				
						
							4 Rudin C, ""Why are we using black box models in AI when we don’t need to? A lesson from an explainable AI competition"" 1 (1): 2019
						
						
				
				
				
			
		

			
				
				
						
							5 McCarthy, ""What is artificial intelligence?"" 
						
						
				
				
				
			
		

			
				
				
						
							6 Polanyi M, ""The tacit dimension"" University of Chicago press 2009
						
						
				
				
				
			
		

			
				
				
						
							7 Hudson K, ""The precision medicine initiative cohort program—Building a Research Foundation for 21st Century Medicine"" Precision Medicine Initiative 2015
						
						
				
				
				
			
		

			
				
				
						
							8 Dummett M, ""The logical basis of metaphysics"" Harvard university press 1991
						
						
				
				
				
			
		

			
				
				
						
							9 Jaccard P, ""THE DISTRIBUTION OF THE FLORA IN THE ALPINE ZONE.1"" 11 (11): 37-50, 1912
						
						
				
				
				
			
		

			
				
				
						
							10 Pedregosa F, ""Scikit-learn : Machine learning in Python"" 12 : 2825-2830, 2011
						
						
				
				
				
			
		

			
				
				
						
							11 Vens C, ""Random forest based feature induction"" IEEE 2011
						
						
				
				
				
			
		

			
				
				
						
							12 Maeda-Minami A, ""Prediction of deficiency-excess pattern in Japanese Kampo medicine : Multi-centre data collection"" 45 : 228-233, 2019
						
						
				
				
				
			
		

			
				
				
						
							13 Christopher M, ""Pattern Recognition and Machine Learning"" 16 (16): 049901-, 2007
						
						
				
				
				
			
		

			
				
				
						
							14 Davies M, ""International Encyclopedia of the Social & Behavioral Sciences"" Academic Press 74-90, 2015
						
						
				
				
				
			
		

			
				
				
						
							15 NEȘTIAN AȘ, ""Incorporating artificial intelligence in knowledge creation processes in organizations"" 2020
						
						
				
				
				
			
		

			
				
				
						
							16 신승원 ; 김윤희 ; 황민우, ""Diagnosis and treatment principle in Sasang medicine: original symptom"" 한국한의학연구원 5 (5): 99-104, 2016
						
						
				
				
				
			
		

			
				
				
						
							17 Park M, ""Development of an explicit and implicit knowledge identification tool for the analysis of the decision-making process of traditional Asian medicine doctors"" 
						
						
				
				
				
			
		

			
				
				
						
							18 Shannon P, ""Cytoscape : a software environment for integrated models of biomolecular interaction networks"" 13 (13): 2498-2504, 2003
						
						
				
				
				
			
		

			
				
				
						
							19 Menze BH, ""A comparison of random forest and its Gini importance with standard chemometric methods for the feature selection and classification of spectral data"" 10 : 213-, 2009"
"인공지능 활용, 어디까지 해봤니?",전은애,한국뇌과학연구원,브레인,Vol.98   No.-   [2023],2023,Korean,,
인공지능 시대를 준비하는 간호,이형복,한국간호윤리학회,한국간호윤리학회 학술대회,Vol.2023   No.11   [2023],2023,Korean,,
인공지능을 이용한 의료영상 판독의 현재와 미래                      = Interpretation of Medical Images Using Artificial Intelligence: Current Status and Future Perspectives,"공은정                                (한림대학교 의과대학 내과학교실, 한림대학교 소화기연구소)                                                                ;                                  방창석                                (한림대학교 의과대학 내과학교실, 한림대학교 소화기연구소)",대한소화기학회,대한소화기학회지(The Korean journal of gastroenterology),Vol.82   No.1   [2023],2023,Korean,,
인공지능 드라마가 주는 의미는?                      = 영미 합작 〈휴먼스〉 vs. 한국 〈너도 인간이니?〉,조용환,한국뇌과학연구원,브레인,Vol.70   No.-   [2018],2018,Korean,,
인공지능  기반  흉부  후전방향  검사에서  자세  평가 방법에  관한  연구                      = Study of Posture Evaluation Method in Chest PA Examination based on Artificial Intelligence,황호성                                (을지대학교 일반대학원  의료인공지능학과)                                                                ;                                  최용석                                (을지대학교 보건과학대학 방사선학과)                                                                ;                                  이대원                                (을지대학교 보건과학대학 방사선학과)                                                                ;                                  김동현 3                                (을지대학교 인공지능융합시스템연구실)                                                                ;                                  김호철                                (을지대학교 인공지능융합시스템연구실),대한의용생체공학회,의공학회지(Journal of Biomedical Engineering Research),Vol.44   No.3   [2023],2023,Korean,Chest PA;  Dataset;  Artificial intelligence;  Pose estimation;  Classification,"Chest PA is the basic examination of radiographic imaging. Moreover, Chest PA's demands are constantly increasing because of the Increase in respiratory diseases. However, it is not meeting the demand due to problems such as a shortage of radiological technologist, sexual shame caused by patient contact, and the spread of infectious diseases. There have been many cases of using artificial intelligence to solve this problem. Therefore, the purpose of this research is to build an artificial intelligence dataset of Chest PA and to find a posture evaluation method. To construct the posture dataset, the posture image is acquired during actual and simulated examination and classified correct and incorrect posture of the patient. And to evaluate the artificial intelligence posture method, a posture esti- mation algorithm is used to preprocess the dataset and an artificial intelligence classification algorithm is applied. As a result, Chest PA posture dataset is validated with in over 95% accuracy in all artificial intelligence classification and the accuracy is improved through the Top-Down posture estimation algorithm AlphaPose and the classification InceptionV3 algorithm. Based on this, it will be possible to build a non-face-to-face automatic Chest PA examination system using artificial intelligence."
인공지능 왓슨과 다학제 진료의 치료방법 일치율 평가 및 의료진 만족도 조사                      = Concordance Assessment and Satisfaction of Medical Professionals for the Artificial Intelligence Watson,이경아                                (서울대학교)                                                                ;                                  김찬희                                (가천대학교)                                                                ;                                  백정흠                                (가천대학교)                                                                ;                                  심선진                                (가천대학교)                                                                ;                                  안성민                                (가천대학교)                                                                ;                                  안희경                                (가천대학교)                                                                ;                                  이언                                (가천대학교)                                                                ;                                  이선희                                (가천대학교),한국보건의료기술평가학회,보건의료기술평가(The Journal of Health Technology Assessment),Vol.7   No.2   [2019],2019,Korean,Artificial intelligence · Multidisciplinary care · Analysis effect.,"The purpose of this prospective study was to examine the concordance rate of diagnosis and treatment between Watson for Oncology(WFO) and multidisciplinary tumor board, and to evaluate the satisfaction of medical professionals about WFO. Methods: The subject of this study was 126 patients with cancer and 54 medical professionals who participate in WFO multidisciplinary care at Gachon University Gil Medical Center in Korea. Concordance rate between the WFO and the multidisciplinary tumor board was measured by the concurrence between the WFO presentation and the final decision of the medical staffs. Satisfaction of medical professionals was measured with a questionnaire that identifies satisfaction, intention of use, and the strengths and weaknesses of WFO. Results: In 121 cases (96.0%), the recommendation and consideration presented by WFO were consistent with the final treatment method. The overall satisfaction for WFO was 6.74±2.08 out of 10. The strength of WFO that medical staffs thought was found to be hospital publicity (4.11±0.78) and patient compliance increase (3.98±0.64). The weakness of WFO was that it did not consider ethnic and cultural differences (3.63±0.98) and that it did not reflect the health insurance cost in Korea (3.61± 0.96). Conclusion: WFO has a high concordance rate when deciding on treatment options, while there are some limitations in the reflection of national racial, regional, cultural and environmental differences and the application of patients in specific situations. It is expected to be used as a basic data for developing Korean artificial intelligence Watson model by grasping the needs and improvement of localized WFO."
인공지능진료시스템 수용에 관한 연구 : 의료기관 종사자와 일반인의 기대 차이를 중심으로,예춘정                                (계명문화대학교)                                                                ;                                  장영혜                                (계명문화대학교),보건의료산업학회,보건의료산업학회지(The Korean Journal of Health Service Management),Vol.15   No.4   [2021],2021,Korean,Artificial Intelligence Diagnosis System;  Trust;  Speediness;  Cost Concerns,"Ⅰ. 서론

Ⅱ. 연구방법

	1. 연구대상 및 자료수집

	2. 변수

	3. 분석방법

Ⅲ. 연구결과

	1. 응답자의 일반적 특성

	2. 변수의 신뢰도와 타당도

	3. 인공지능진료시스템에 대한 의료기관 종사자와 일반인 간의 기대 차이

	4. 인공지능진료시스템의 수용과정

Ⅳ. 고찰

Ⅴ. 결론

REFERENCES"
인공지능을 활용한 두피 모발 질환 진단 장치 개발,서영우(Y. W. Seo)                          ;  손원태(W. T. Son)                          ;  고태식(T. Go),한국재활복지공학회,한국재활복지공학회 학술대회논문집,Vol.2022   No.11   [2022],2022,Korean,,
인공지능 기술보다 중요한 인공지능 윤리,조용환,한국뇌과학연구원,브레인,Vol.98   No.-   [2023],2023,Korean,,
인공지능 챗봇의 질병 진단 및 환자 치료에 대한 답변은 신뢰할 수 있는가?                      = Can we trust AI chatbots’ answers about disease diagnosis and patient care?,허선                                (한림대학교 의과대학 기생충학교실 및 의학교육연구소),대한의사협회,대한의사협회지(Journal of the Korean Medical Association),Vol.66   No.4   [2023],2023,Korean,인공지능;  언어;  의사;  대한민국;  Artificial intelligence;  Language;  Physicians;  Republic of Korea,"Background: Several chatbots that utilize large language models now exist. As a particularly well-known example, ChatGPT employs an autoregressive modeling process to generate responses, predicting the next word based on previously derived words. Consequently, instead of deducing a correct answer, it arranges the most frequently appearing words in the learned data in order. Optimized for interactivity and content generation, it presents a smooth and plausible context, regardless of whether the content it presents is true. This report aimed to examine the reliability of ChatGPT, an artificial intelligence (AI) chatbot, in diagnosing diseases and treating patients, how to interpret its responses, and directions for future development.Current Concepts: Ten published case reports from Korea were analyzed to evaluate the efficacy of ChatGPT, which was asked to describe the correct diagnosis and treatment. ChatGPT answered 3 cases correctly after being provided with the patient’s symptoms, findings, and medical history. The accuracy rate increased to 7 out of 10 after adding laboratory, pathological, and radiological results. In one case, ChatGPT did not provide appropriate information about suitable treatment, and its response contained inappropriate content in 4 cases.In contrast, ChatGPT recommended appropriate measures in 4 cases.Discussion and Conclusion: ChatGPT’s responses to the 10 case reports could have been better. To utilize ChatGPT efficiently and appropriately, users should possess sufficient knowledge and skills to determine the validity of its responses. AI chatbots based on large language models will progress significantly, but physicians must be vigilant in using these tools in practice."
인공지능을 활용한 초음파영상진단장치에서 초음파 팬텀 영상을 이용한 정도관리의 정량적 평가방법 연구                      = A Study on the Quantitative Evaluation Method of Quality Control using Ultrasound Phantom in Ultrasound Imaging System based on Artificial Intelligence,임연진                                (을지대학교)                                                                ;                                  황호성                                (을지대학교)                                                                ;                                  김동현                                (을지대학교)                                                                ;                                  김호철                                (을지대학교),대한의용생체공학회,의공학회지(Journal of Biomedical Engineering Research),Vol.43   No.6   [2022],2022,Korean,Ultrasound;  Artificial intelligence;  Quality control;  Classification;  Quantitative evaluation,"Ultrasound examination using ultrasound equipment is an ultrasound device that images human organs using sound waves and is used in various areas such as diagnosis, follow-up, and treatment of diseases. However, if the quality of ultrasound equipment is not guaranteed, the possibility of misdiagnosis increases, and the diagnosis rate decreases. Accordingly, The Korean Society of Radiology and Korea society of Ultrasound in Medicine presented guidelines for quality management of ultrasound equipment using ATS-539 phantom. The DenseNet201 classification algorithm shows 99.25% accuracy and 5.17% loss in the Dead Zone, 97.52% loss in Axial/Lateral Resolution, 96.98% accuracy and 20.64% loss in Sensitivity, 93.44% accuracy and 22.07% loss in the Gray scale and Dynamic Range.As a result, it is the best and is judged to be an algorithm that can be used for quantitative evaluation. Through this study, it can be seen that if quantitative evaluation using artificial intelligence is conducted in the qualitative eval- uation item of ultrasonic equipment, the reliability of ultrasonic equipment can be increased with high accuracy."
인공지능로봇의료의 도덕형이상학적 모색: 의료적 전자인간의 책임가능성                      = The Search for a Moral Metaphysics in Artificial Intelligence Robot Medicine: The Responsibility of an Electronic Human in Medicine,정창록                                (경북대학교),한국의료윤리학회,한국의료윤리학회지(Korean Journal of Medical Ethics),Vol.21   No.2   [2018],2018,Korean,인공지능의료;  전자인간 의사;  도덕적 책임;  킬 스위치;  자가치료;  보편적 자가의료;  artificial intelligence medicine;  an electronic human in medicine;  moral responsibility;  kill switch;  self-care medicine;  universal self-care medicine,"The European Parliament is currently considering a proposal to grant artificial intelligence (AI) robots the legal status of “electronic persons”. This article examines the metaphysical status of AI robots and considers the some of the ethical questions that arise from the use of AI robots in the practice of medicine. In particular, would electronic human doctors have rights? And to what extent could they be held responsible for their behavior? In answering these questions this article considers the concept of a “kill switch” and how it relates to the notion of freedom that is presupposed by a Kantian understanding of responsibility. The article also outlines some of the new horizons opened up by the arrival of Watson in medicine, including the emergence of “self-care medicine” and the possibility of “universal self-care.” This article argues that in light of the advent of electronic human doctors, the new role for human health care personnel is that of a “kill switcher.”"
