,논문제목,연도,링크
238,데이터마이닝을 이용한 의료의 질 측정지표 분석 및 의사결정지원시스템 개발,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7b8a47e569fa00b7ffe0bdc3ef48d419&keyword=
239,데이터 증강으로 강화된 Aug-TNE(Text to Node Embedding)을 활용한 감성분석,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=02edbd848118d97cc85d2949c297615a&keyword=
240,반복측정한 임상 데이터의 분석방법에 대한 선발의 연구,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c51f369e44cc727fc85d2949c297615a&keyword=
241,비선형 시간이력해석을 통한 철근콘크리트 벽식구조 건물의 내풍 성능 평가,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7068a923bc9bd9307ecd42904f0c5d65&keyword=
242,데이터마이닝 기법을 이용한 건강보험공단의 수술 통계량 근사치 추정 -허니아 수술을 중심으로-,2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d5ba8df3a778f0f47ecd42904f0c5d65&keyword=
243,감염관리를 위한 항생제 사용량 데이터마트의 구축,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b4027e4d6b88a9a86aae8a972f9116fb&keyword=
244,데이터마이닝 방법을 이용한 아시아 민족 분류 모형 구축,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=953163fb71e0752ce9810257f7042666&keyword=
245,데이터마이닝 분석을 이용한 노인약물유해반응과 원인약물의 연관성연구,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=eb5048b09b5f28aeffe0bdc3ef48d419&keyword=
246,상지마비 재활훈련로봇용 데이터글로브의 개발,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=106daf55c77cc3acffe0bdc3ef48d419&keyword=
247,데이터의 공간적인 분포를 이용한 가변 임계값 기반 특징선택,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d73662deadf8713b47de9c1710b0298d&keyword=
248,상지마비 재활훈련로봇용 데이터글로브의 개발,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=72a38db1bbafb2e2b36097776a77e665&keyword=
249,데이터베이스 정규화 이론을 이용한 국민건강영양조사 중 다년도 식이조사 자료 정제 및 통합,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1d0819a9ed7c18a1b36097776a77e665&keyword=
250,위암환자를 위한 간호 데이터베이스 개발,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a904af57a07e780eb36097776a77e665&keyword=
251,데이터마이닝 기법을 이용한 사상체질 판별함수에 관한 연구,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=38cbb8c5ea3e6fd447de9c1710b0298d&keyword=
252,건강도시 웹데이터베이스 활용방안 연구: 원주시 사례,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=089e33b7d2cb8462ffe0bdc3ef48d419&keyword=
253,데이터마이닝을 이용한 청소년 유해업소 출입경험에 영향을 주는 요인,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=66a7fd038d9a887e6aae8a972f9116fb&keyword=
254,건강보험심사평가원 데이터의 분석을 통한 체성기능부전 환자의 특성 및 M99 진단명의 사용현황 분석,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=05defe4e0b32deeee9810257f7042666&keyword=
255,의약품부작용보고시스템 데이터베이스를 이용한 졸피뎀 약물 유해반응 실마리 정보 검출,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=88c98478219f6254b36097776a77e665&keyword=
256,CK+ 데이터베이스와 실시간 영상처리를 이용한 감정인식,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a67733ad44d29331b7998d826d417196&keyword=
257,특수건강검진 데이터를 Common Data Model에 적용한 연구의 실행가능성,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6a68cc10c1ed88606aae8a972f9116fb&keyword=
258,정보 성분과 상대위험도를 이용한 clopidogrel의 약물상호작용 시그널 검색 : 건강보험데이터베이스를 대상으로 한 데이터마이닝 연구,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=df920c6f0c72548cffe0bdc3ef48d419&keyword=
259,국내 데이터베이스 검색을 통한 암성통증의 약침치료 임상연구 동향,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fc2b4d7ddb4b46aab7998d826d417196&keyword=
260,순환관계 데이터모델을 적용한 수련병원실태조사 업무 구현,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=609960f4b8d50896ffe0bdc3ef48d419&keyword=
261,비정형 데이터와 딥러닝을 활용한 내수침수 탐지기술 개발,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=70fd4172f8c50b804884a65323211ff0&keyword=
262,공통 데이터모델을 이용한 국내 헬리코박터 파일로리 일차 제균 치료 경향 변화의 분석,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7cdde526af1f8170b36097776a77e665&keyword=
263,국민건강보험공단 데이터베이스를 이용한 국내 이비인후과 수술 전 검사 현황 분석,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0f35ac59e3bc14db47de9c1710b0298d&keyword=
264,한의학술논문 데이터베이스 구축을 위한 입력 및 검수 시스템 개발,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=32a91faf0c41c2527ecd42904f0c5d65&keyword=
265,중의학 데이터베이스 (CAJ)를 이용한 급성백혈병의 한약치료에 대한 임상 연구 동향,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e38f1a51e5c9b4f27f7a54760bb41745&keyword=
266,육아교실 데이터베이스를 이용한 최근 6년간 한국 6개월 이하 영아의 모유수유 율,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8f997ef82fb92b8a4884a65323211ff0&keyword=
267,시계열 데이터들의 경향성 분석을 통한 고분자 전해질 연료전지 상태 예측 딥러닝 알고리즘 개발,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cfb79125d9969f6ce9810257f7042666&keyword=
268,『鄕藥集成方』의 데이터베이스 구축을 위한 원문의 전산처리,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c5eb001c7f4d300dffe0bdc3ef48d419&keyword=
269,건강보험 데이터를 이용한 14세 이하 소아청소년의 치아 우식 유병률 경향성,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9f5e3597fbbfb1ce7ecd42904f0c5d65&keyword=
270,전자의무기록 데이터의 이차활용을 위한 구조화된 데이터 질에 대한 탐색,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=42e2ccfffdae83c9d18150b21a227875&keyword=
271,선행연구자료 데이터베이스 구축을 통한 한의학 고혈압 정보 시스템 개발,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2d9c12b5410353a6ffe0bdc3ef48d419&keyword=
272,PACS 데이터와 OCS 연동 오류 감소,2007,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b2b79ce0e6e52231ffe0bdc3ef48d419&keyword=
273,합성 데이터를 활용한 폐암 환자의 생존분석 가능성 검정,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=43559b48e7c74706c85d2949c297615a&keyword=
274,중의학 데이터베이스 (CAJ)를 이용한 소아 비만의 한약치료에 대한 임상 연구 동향,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bea9df24680799ddc85d2949c297615a&keyword=
275,의약품부작용보고시스템 데이터베이스를 이용한 고강도 statin과 중·저강도 statin 관련 이상사례 비교 분석,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=24d5945a27f3076eb36097776a77e665&keyword=
276,안면스캔 데이터와 임시의치를 복제한 개인 트레이를 활용하여 CAD/CAM을 통한 monolithic disc로 제작한 총의치 수복: 증례 보고,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=09ab71f13cd45a8547de9c1710b0298d&keyword=
277,홍천군 데이터를 이용한 한의학 설문지의 문항간 신뢰성 분석에 관한 연구,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b01f78894e5c47777ecd42904f0c5d65&keyword=
278,종설 : 의학학술지를 어떻게 국제 색인데이터베이스에 등재시킬 것인가?,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d64fabece7ae31ecffe0bdc3ef48d419&keyword=
279,위해 데이터기반 수산물 안전관리 체계 개선연구 – 데이터기반 수산물 안전성조사 효율 제고 -,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5b9ddbae57f599fe7f7a54760bb41745&keyword=
280,비대칭 데이터셋 기반 딥러닝을 위한 적응적 학습률 조절 기법,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6f548c06094bbf5947de9c1710b0298d&keyword=
281,중의학 데이터베이스인 TCMID와 TCMSP로부터 '동의수세보원 신축본'에 제시된 사상체질별 본초 선별 연구,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9fc6607650554c7b7ecd42904f0c5d65&keyword=
282,의학교육의 코호트 구축을 위한 종단 데이터베이스 설계방안 연구,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=458a22754f4c2d347ecd42904f0c5d65&keyword=
283,법의인류학 데이터베이스를 이용한 얼굴복원 사례 보고,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9e99f53b0e855729ffe0bdc3ef48d419&keyword=
284,의약품이상사례보고시스템 데이터베이스를 이용한 피나스테리드의 약물유해반응 실마리 정보 탐색,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b227520e0167319747de9c1710b0298d&keyword=
285,CNKI 데이터를 활용한 포제 DB 구축 및 동향분석,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=17916813a0cd7d8bd18150b21a227875&keyword=
286,국내 및 해외의 임상시험 데이터모니터링위원회 지침의 현황,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b85d72162cda62cc6aae8a972f9116fb&keyword=
287,대기오염에 따른 환경성 질환의 인자분석: Big Data를 통한 Google 트렌드 데이터의 분석 및 영향,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0cc2831d96f15f45e9810257f7042666&keyword=
288,실제 임상 데이터를 이용한 NONMEM 7.2에 도입된 추정법 비교 연구,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f5aa731ac31fbaaaffe0bdc3ef48d419&keyword=
289,"0~12세 아동에 대한 국가예방접종등록시스템 데이터베이스의 오류율, 충실도, 적시성 평가",2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0e183d3d0ede83746aae8a972f9116fb&keyword=
290,한국 청소년의 비행 경험을 예측하는 변인 연구: 한국청소년패널 데이터를 활용한 랜덤 포레스트 분석,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5e87c67ef59a20d3d18150b21a227875&keyword=
291,이머징 이슈 사례 연구— 데이터 분석과 전문가 의견의 융합 —,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d40e8ed583c49d83b36097776a77e665&keyword=
292,동ㆍ서양인 얼굴 데이터를 활용한 딥러닝 기반 안면마비 인식 정확도 평가,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1cc196c4b78dd9f2e9810257f7042666&keyword=
293,상지마비 재활로봇용 데이터글로브의 개발,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=31bcbd8120311550ffe0bdc3ef48d419&keyword=
294,미토콘드리아 DNA 데이터베이스의 통계학적 유용성 확인을 위한 파라미터 탐색,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3e1d132439d1acfc7ecd42904f0c5d65&keyword=
295,원주시 건강도시 웹 데이터베이스 구축,2007,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a300b88dcb560816ffe0bdc3ef48d419&keyword=
296,FT-IR 스펙트럼 데이터의 다변량 통계분석 기법을 이용한 반하의 원산지 식별 및 예측기술,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bf4fbf2b9279a86fb36097776a77e665&keyword=
297,객체지향형 처방 데이터베이스의 구축과 처방 검색 프로그램의 설계 및 개발,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f5cc36e03f14a360ffe0bdc3ef48d419&keyword=
298,독성동태 모델과 데이터의 해석,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ff1f3fb227910450ffe0bdc3ef48d419&keyword=
299,STR 자료의 데이터마이닝을 이용한 혈연관계의 분류,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=757e61d1e7ceee97c85d2949c297615a&keyword=
300,의약품 정보의 데이터베이스(DB) 구축과 활용,2005,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2e430c88dd1928c7ffe0bdc3ef48d419&keyword=
301,디지털 스캔 데이터를 활용한 무치악 치조제 관계의 평가와 인공치 선택: 편측 교차교합의 가철성 의치 수복 증례,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fbaa3b3be5d8c1376aae8a972f9116fb&keyword=
302,일반약국의 처방조제정보 데이터에 대한 약물사용의사결정 지원시스템의 응용을 통한 전산화 약물사용평가에 대한 연구,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6a1b1b22efb69525ffe0bdc3ef48d419&keyword=
303,한국 논문 데이터베이스의 산삼약침 암 증례 논문 분석,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b1a8bb61cb4195cab36097776a77e665&keyword=
304,마커리스 동작분석 데이터를 활용한 LSTM 모델 학습을 통해 위팔두갈래근의 근피로도예측 평가 사전 연구,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=31f1c49181a6940d4884a65323211ff0&keyword=
305,WHO 국제 데이터베이스를 활용한 천식이 있는 소아청소년의 코로나19(COVID-19) 백신 안전성 연구,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=20e10ad9686c45d27ecd42904f0c5d65&keyword=
306,임상교정 교육용 멀티미디어 데이터베이스 웹서버 구축에 관한 연구,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5d687ea4c5a141bb&keyword=
307,고령화연구패널조사 2014–2018년 데이터를 이용한 한국 노인의 복합만성질환 변화와 본인부담 총 의료비의 연관성,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5f2c5eaeb16f4bbdd18150b21a227875&keyword=
308,보건정보와 건강보험 데이터를 이용한 심폐정지 · 증상 · 노환으로 기재된 사망진단서 원사인의 정확도 개선정도,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ccc5511b024ccfdfffe0bdc3ef48d419&keyword=
309,‘디지털 영상정보와 데이터과학’ 특별호 발간에 부쳐,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fd58ea0a7aecf5a24884a65323211ff0&keyword=
310,중국 네트워크약리학 데이터베이스 구축 현황 및 TCMSP의 활용가능성 검토,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e2f6e656f314b6536aae8a972f9116fb&keyword=
311,생물학적 모니터링 데이터를 기초한 PBPK모델의 활용,2007,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6c0d8d20db6b688de9810257f7042666&keyword=
312,단백질 상호작용 데이터베이스 현황 및 활용 방안,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=451ad2aeec4040f5ffe0bdc3ef48d419&keyword=
313,사상체질 진단검사를 위한 데이터마이닝 알고리즘 연구,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7b2ee893732b057447de9c1710b0298d&keyword=
314,국내 정신약물 임상연구 현황과 데이터베이스 구축,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=11df295ca536b7886aae8a972f9116fb&keyword=
315,소아 및 종양 핵의학 영상판독에서 RDF/OWL 데이터의 유용성,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=54631f786762ed447f7a54760bb41745&keyword=
316,EMR 상에서 약물정보 데이터베이스의 구축,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7f11be38782aa700ffe0bdc3ef48d419&keyword=
317,의학교육에서 컴퓨터바탕검사와 문항은행 데이터베이스 구축,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=aca8cbd5c3746beb7f7a54760bb41745&keyword=
318,한국인 상용식품의 요오드 데이터베이스 구축과 한국 성인의 요오드 섭취 실태 및 갑상선질환과의 연관성 연구,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=cbd774e74c7d567cb7998d826d417196&keyword=
319,원전 배관의 반복 측정 데이터에 대한 신뢰도 분석 방법,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=77bcc60803b26c12ffe0bdc3ef48d419&keyword=
320,학교보건 증진을 위한 데이터베이스의 개발 및 관리,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6785ba391184d03bffe0bdc3ef48d419&keyword=
321,보건소 건강증진사업을 위한 데이터베이스 시스템 구축,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=38f8a9f21b404e25ffe0bdc3ef48d419&keyword=
322,인터넷 기반의 식품 교환량 데이터베이스 구축과 검색 시스템 (ENECC/E-Food Exchange)에 관한 기초 연구,2003,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=73fb019bc60e1311ffe0bdc3ef48d419&keyword=
323,국가 암 발생 데이터베이스에 등록된 암환자의 연령군별 생존율: 기간 분석 방식에 의한 1997년과 2002년도 생존율 비교,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4e321e2e21252c7a7ecd42904f0c5d65&keyword=
324,기계학습기법을 통한 불임환자 데이터의 종속성 분석,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4c5f90ec44869941ffe0bdc3ef48d419&keyword=
325,한의학 통계자료를 이용한 지식정보 데이터베이스 구축 연구,2013,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2f7ee2c2017da7c5ffe0bdc3ef48d419&keyword=
326,뇌병변 장애인의 관절 각도 데이터를 활용한 머신러닝 기반의 재활운동 능력 평가에 관한 연구,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b043f61c881d5a77d18150b21a227875&keyword=
327,구강스캐너를 통한 디지털 인상 데이터로 가상교합기 기능을 활용하여 제작한 임플란트 보철 증례,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8a62b0571229c5b26aae8a972f9116fb&keyword=
328,트윗 텍스트 마이닝 기법을 이용한 구제역의 감성분석,2018,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=963f7fc1c55034d4d18150b21a227875&keyword=
329,산머루 관련 정보수집 및 데이터베이스의 구축,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=049a600e22e41684d18150b21a227875&keyword=
330,"복부수술환자의 간호진단, 간호중재, 간호결과 연계 데이터베이스 구축",2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bc10777158ada7187ecd42904f0c5d65&keyword=
331,청강 김영훈 진료기록 데이터베이스모형 개발연구,2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a38db162823aca2b4884a65323211ff0&keyword=
332,국내 의약품 정보 데이터베이스의 비교 평가,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=74d5cf73946e6b3dffe0bdc3ef48d419&keyword=
333,국내 뇌전증지속상태의 추이: 국민건강보험 데이터를 이용한 역학 연구,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7b5c03fa3b71fc0c7f7a54760bb41745&keyword=
334,자가 건강관리를 위한 데이터베이스 시스템 구축에 관한 연구,2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=36f2a83d20ea0e0a4884a65323211ff0&keyword=
335,FDA 부작용 보고 시스템 데이터베이스를 이용한 Cyclosporine과 Tacrolimus의주요 약물이상사례 및 실마리 정보 분석,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=eb1cd5e79fa864b3b36097776a77e665&keyword=
336,우리나라에서의 범죄자 디엔에이 데이터베이스 현황과 앞으로의 과제,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=51b530f0b8bc3a57b36097776a77e665&keyword=
337,한국과 영국의 건강불평등 국가 데이터베이스 비교: 중독 물질 오남용 관련 정신건강 및 호흡기 질환을 중심으로,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4a1a7ba351db75a5b36097776a77e665&keyword=
338,딥러닝 기술과 I-V 데이터를 이용한 태양광 고장 진단 기술,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=c7f1af9bf6887d747f7a54760bb41745&keyword=
339,해안역 도시의 환경지리정보 데이터베이스 구축 및 활용,2007,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2eb4e0d2034d210cffe0bdc3ef48d419&keyword=
340,원전 배관의 두께 측정 데이터에 대한 신뢰도 분석 방법 및 적용,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=88b123055259c94747de9c1710b0298d&keyword=
341,3차원 의학영상 처리에서 사용되는 비균등 볼륨 데이터를 위한 효율적인 렌더링 방법,2002,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=21f72ea24a79946fb36097776a77e665&keyword=
342,효율적인 지역사회 건강관리를 위한 데이터베이스 시스템 구현- 보건소의 가족단위 방문간호사업을 중심으로-,2000,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6bedfcd53da1a1a7e9810257f7042666&keyword=
343,가족관계를 이용한 DNA 데이터베이스 검색,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6de26fd026483c8fe9810257f7042666&keyword=
344,게놈 시대 인간 유전자 데이터베이스의 검색 및 사용법,2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e809d1e9ad7a865dffe0bdc3ef48d419&keyword=
345,한의학 전통 지식 데이터베이스 관리 시스템 현황,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7cb1b1e183b00523b36097776a77e665&keyword=
346,자살 및 관련 질환과 침치료 및 혈위지압에 대한 대중과 연구자의 관심도 분석: Google Trends와 주요 전자 데이터베이스를 이용하여,2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=041aabab29da1544c85d2949c297615a&keyword=
347,내분비계 장애물질 연구를 위한 데이터베이스,2004,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b933a758c7cce9e9ffe0bdc3ef48d419&keyword=
348,"UARS 수면장애자의 심전도 데이터에서 R-R 간격, R-R간격 변화량, 저주파대고주파전력비에 관한 고찰",2001,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8694fce49c9964aac85d2949c297615a&keyword=
349,Ginsenoside Rg₁의 NMR 데이터 동정,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=15a76743f8ce7ee5ffe0bdc3ef48d419&keyword=
350,요통 환자 레지스트리 데이터를 통한 한의 보존적 치료 경향: 7개 한방병원 의무기록 분석,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d14c9dde11d8b09c6aae8a972f9116fb&keyword=
351,한국인 상용식품의 플라보노이드 데이터베이스 구축,2012,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e8c846efce448d74ffe0bdc3ef48d419&keyword=
352,의안(醫案)의 데이터베이스 구조화 연구 - 시수도명의 의안을 중심으로 -,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6bcfc8ac559b0a30e9810257f7042666&keyword=
353,구역화 형태의 차이를 이용한 컬러 볼륨 데이터의 펼친 영상 생성,2008,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8a918bd115d60396e9810257f7042666&keyword=
354,제1주제 : 원주시의 건강도시 웹 데이터베이스 시스템 개발에 관한 연구,2006,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6acf63a187d76da6ffe0bdc3ef48d419&keyword=
355,대학생의 우울 예측을 위한 머신러닝 분석: 가족 데이터를 중심으로,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=293b7d917555cefd7ecd42904f0c5d65&keyword=
356,상보필터 적용을 통한 장애인보조기구용 레이더 데이터 보정연구,2016,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=713c8742c0a47fd547de9c1710b0298d&keyword=
357,구강 스캐너 거울면의 오염도가 스캔 데이터의 정확도에 미치는 영향 평가,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=99ed5072d147c3116aae8a972f9116fb&keyword=
358,한의 온톨로지 처방의 용량 단위 가공과 데이터베이스 스키마 설계,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=968f5a35d6cddfad7f7a54760bb41745&keyword=
359,노인장기요양보험 급여비의 결정요인분석 -시·군·구 데이터를 중심으로-,2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=40e3e00f368cdaa1d18150b21a227875&keyword=
360,"지속적, 포괄적 재활서비스 제공을 위한 장애인 통합 데이터베이스 및 활용체계 연구",2011,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=03bfd7d5d95900beb7998d826d417196&keyword=
361,사상체질별 운동요법 관련 연구 문헌 고찰 - 데이터베이스 검색을 통해 -,2021,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b8435546fa5765077ecd42904f0c5d65&keyword=
362,행작용 최대우도 알고리즘을 사용한 컴프턴 산란 데이터로부터의 3차원 영상재구성,2009,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=82d564155ca6b7116aae8a972f9116fb&keyword=
363,<sup>18</sup>F-FDG Brain PET/CT 검사를 위한 데이터 비교 방법의 평가,2015,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1d5fce28e2b1f8e4d18150b21a227875&keyword=
364,Correlation 분석 기법을 적용한 요통 환자에 관한 레지스트리 데이터의 탐색적 분석,2017,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1caf5fb29e79c8a14884a65323211ff0&keyword=
365,한국 여성의 연령에 따른 피부 측정 데이터 기반 20 대 ∼ 40 대  피부 나이 예측 모형 개발 및 적용,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=001c23b018c4d5b06aae8a972f9116fb&keyword=
